date,username,feature,sessions,time spent,average time spent
2017-06-01,kwalter,Reporting,14,23,1.642857143
2017-06-01,kcarr,Roadmap,17,55,3.235294118
2017-06-01,cstuart,Automation,13,2,0.1538461538
2017-06-01,mkelley,Task Creation,14,18,1.285714286
2017-06-02,edillon,Task Creation,17,13,0.7647058824
2017-06-02,ablackwell,Roadmap,15,40,2.666666667
2017-06-02,jhuang,Saga Creation,14,34,2.428571429
2017-06-02,shorne,Automation,14,4,0.2857142857
2017-06-02,nblair,Account Managment,13,15,1.153846154
2017-06-03,dhays,Account Managment,15,19,1.266666667
2017-06-03,eberry,Automation,17,16,0.9411764706
2017-06-03,jbeasley,Roadmap,17,42,2.470588235
2017-06-03,bhensley,Task Creation,16,22,1.375
2017-06-03,kcarr,Saga Creation,15,23,1.533333333
2017-06-04,kalvarado,Roadmap,14,59,4.214285714
2017-06-04,edillon,Account Managment,15,12,0.8
2017-06-04,rconway,Automation,14,19,1.357142857
2017-06-04,ipierce,Saga Creation,13,27,2.076923077
2017-06-04,yfriedman,Reporting,16,21,1.3125
2017-06-04,kgalloway,Task Creation,14,16,1.142857143
2017-06-05,wharvey,Roadmap,16,44,2.75
2017-06-05,kkane,Saga Creation,17,19,1.117647059
2017-06-05,amcintyre,Reporting,14,20,1.428571429
2017-06-05,lwheeler,Task Creation,14,25,1.785714286
2017-06-05,dbell,Account Managment,15,5,0.3333333333
2017-06-05,acombs,Automation,15,5,0.3333333333
2017-06-06,nphillips,Automation,15,5,0.3333333333
2017-06-06,kflowers,Saga Creation,14,30,2.142857143
2017-06-06,sfox,Reporting,14,29,2.071428571
2017-06-06,aortega,Task Creation,15,16,1.066666667
2017-06-07,zhodges,Automation,15,14,0.9333333333
2017-06-07,ofrye,Saga Creation,16,32,2
2017-06-07,rcalhoun,Reporting,16,29,1.8125
2017-06-07,nphillips,Task Creation,13,24,1.846153846
2017-06-07,wharvey,Roadmap,14,57,4.071428571
2017-06-08,kreese,Saga Creation,14,28,2
2017-06-08,rherman,Task Creation,16,13,0.8125
2017-06-08,acombs,Reporting,13,28,2.153846154
